regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,45.406,46.656,46.623,0.9736
pure,2,1,0.5,4.0,0,0,256,1024,640,47.457,49.698,49.149,0.755
pure,2,1,0.5,4.0,0,0,512,2048,1280,51.232,56.674,54.208,0.5469
pure,2,1,0.5,4.0,0,0,1024,4096,2560,60.609,71.842,65.792,0.4614
pure,2,1,0.5,4.0,0,0,2048,8192,5120,80.896,105.283,92.257,0.4659
pure,2,1,0.5,4.0,0,0,4096,16384,10240,122.495,138.912,115.007,-0.4561
mixed,2,1,0.5,4.0,16,0,128,512,320,38.048,52.032,51.938,0.9933
mixed,2,1,0.5,4.0,16,0,256,1024,640,59.712,84.704,84.321,0.9847
mixed,2,1,0.5,4.0,16,0,512,2048,1280,100.191,151.201,151.17,0.9994
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,185.119,285.313,284.384,0.9907
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,350.978,549.923,548.799,0.9944
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,684.323,1080.96,1081.411,1.0011
mixed,2,1,0.5,4.0,16,512,128,512,320,51.935,53.184,51.872,-0.0504
mixed,2,1,0.5,4.0,16,512,256,1024,640,59.648,84.575,84.448,0.9949
mixed,2,1,0.5,4.0,16,512,512,2048,1280,100.16,151.138,150.913,0.9956
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,184.705,285.347,284.706,0.9936
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,351.491,550.018,549.987,0.9998
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,683.682,1083.204,1081.765,0.9964
mixed,2,1,0.5,4.0,16,1024,128,512,320,84.961,84.961,84.832,
mixed,2,1,0.5,4.0,16,1024,256,1024,640,84.767,86.464,84.929,0.0955
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,100.067,151.009,151.007,1.0
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,185.024,284.639,285.632,1.01
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,351.17,566.721,569.088,1.011
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,709.122,1109.378,1114.339,1.0124
