regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,4,1,0.25,4.0,0,0,512,2048,896,57.662,80.861,61.634,0.1712
pure,4,1,0.25,4.0,0,0,2048,8192,3584,107.519,181.567,107.777,0.0035
mixed,4,1,0.25,4.0,256,0,512,2048,896,102.368,174.337,171.232,0.9569
mixed,4,1,0.25,4.0,256,0,2048,8192,3584,271.456,556.832,548.258,0.97
mixed,4,1,0.25,4.0,256,4096,512,2048,896,362.047,436.739,340.514,-0.2883
mixed,4,1,0.25,4.0,256,4096,2048,8192,3584,534.339,812.865,677.025,0.5123
mixed,4,1,0.25,4.0,512,0,512,2048,896,149.76,222.976,204.737,0.7509
mixed,4,1,0.25,4.0,512,0,2048,8192,3584,319.169,606.659,594.113,0.9564
mixed,4,1,0.25,4.0,512,4096,512,2048,896,591.011,604.066,589.282,-0.1324
mixed,4,1,0.25,4.0,512,4096,2048,8192,3584,773.475,1077.059,945.123,0.5654
mixed,4,1,0.25,4.0,1024,0,512,2048,896,235.873,337.889,299.203,0.6208
mixed,4,1,0.25,4.0,1024,0,2048,8192,3584,465.633,746.594,708.258,0.8636
mixed,4,1,0.25,4.0,1024,4096,512,2048,896,997.187,1074.467,988.352,-0.1143
mixed,4,1,0.25,4.0,1024,4096,2048,8192,3584,1164.163,1444.293,1355.522,0.6831
pure,4,2,0.5,4.0,0,0,512,2048,1280,65.598,81.025,67.426,0.1185
pure,4,2,0.5,4.0,0,0,2048,8192,5120,132.0,182.272,133.021,0.0203
mixed,4,2,0.5,4.0,256,0,512,2048,1280,126.944,175.873,172.512,0.9313
mixed,4,2,0.5,4.0,256,0,2048,8192,5120,369.73,558.721,551.616,0.9624
mixed,4,2,0.5,4.0,256,4096,512,2048,1280,386.368,437.12,428.673,0.8336
mixed,4,2,0.5,4.0,256,4096,2048,8192,5120,622.303,812.066,802.085,0.9474
mixed,4,2,0.5,4.0,512,0,512,2048,1280,176.799,224.097,210.4,0.7104
mixed,4,2,0.5,4.0,512,0,2048,8192,5120,414.115,601.474,603.043,1.0084
mixed,4,2,0.5,4.0,512,4096,512,2048,1280,590.081,599.842,588.002,-0.213
mixed,4,2,0.5,4.0,512,4096,2048,8192,5120,877.826,1074.948,969.953,0.4674
mixed,4,2,0.5,4.0,1024,0,512,2048,1280,271.97,339.555,308.993,0.5478
